('2020-11-01T01:59:59+00:00', 'Odd Down P+R', -41, -3, 'Static', '2:05', '2020-11-01T01:59:42+00:00', 'Newbridge P+R', 0, 0, 'Static', '2:05', '2020-11-01T01:55:00+00:00', 'SouthGate Rail CP', 7, 5, 'Static', '2:05', '2020-11-01T01:55:00+00:00', 'SouthGate General CP', 131, 18, 'Static', '2:05', '2020-11-01T01:58:05+00:00', 'Podium CP', 90, 17, 'Static', '2:05', '2020-11-01T01:35:00+00:00', 'Charlotte Street CP', 616, 58, 'Emptying', '2:05', '2020-11-01T01:59:42+00:00', 'Avon Street CP', 0, 0, 'Emptying', '2:05')
('2020-11-01T02:10:00+00:00', 'Odd Down P+R', -42, -3, 'Emptying', '2:15', '2020-11-01T02:12:16+00:00', 'Newbridge P+R', 0, 0, 'Static', '2:15', '2020-11-01T02:10:00+00:00', 'SouthGate Rail CP', 7, 5, 'Static', '2:15', '2020-11-01T02:10:00+00:00', 'SouthGate General CP', 131, 18, 'Static', '2:15', '2020-11-01T02:13:04+00:00', 'Podium CP', 90, 17, 'Static', '2:15', '2020-11-01T01:35:00+00:00', 'Charlotte Street CP', 616, 58, 'Emptying', '2:15', '2020-11-01T02:14:29+00:00', 'Avon Street CP', 0, 0, 'Static', '2:15')
('2020-11-01T02:10:00+00:00', 'Odd Down P+R', -42, -3, 'Emptying', '2:25', '2020-11-01T02:12:16+00:00', 'Newbridge P+R', 0, 0, 'Static', '2:25', '2020-11-01T02:10:00+00:00', 'SouthGate Rail CP', 7, 5, 'Static', '2:25', '2020-11-01T02:10:00+00:00', 'SouthGate General CP', 131, 18, 'Static', '2:25', '2020-11-01T02:13:04+00:00', 'Podium CP', 90, 17, 'Static', '2:25', '2020-11-01T01:35:00+00:00', 'Charlotte Street CP', 616, 58, 'Emptying', '2:25', '2020-11-01T02:14:29+00:00', 'Avon Street CP', 0, 0, 'Static', '2:25')
('2020-11-01T02:10:00+00:00', 'Odd Down P+R', -42, -3, 'Emptying', '2:35', '2020-11-01T02:30:00+00:00', 'Newbridge P+R', 0, 0, 'Static', '2:35', '2020-11-01T02:25:00+00:00', 'SouthGate Rail CP', 7, 5, 'Static', '2:35', '2020-11-01T02:25:00+00:00', 'SouthGate General CP', 131, 18, 'Static', '2:35', '2020-11-01T02:28:03+00:00', 'Podium CP', 90, 17, 'Static', '2:35', '2020-11-01T01:35:00+00:00', 'Charlotte Street CP', 616, 58, 'Emptying', '2:35', '2020-11-01T02:29:15+00:00', 'Avon Street CP', 0, 0, 'Static', '2:35')
('2020-11-01T02:10:00+00:00', 'Odd Down P+R', -42, -3, 'Emptying', '2:45', '2020-11-01T02:42:33+00:00', 'Newbridge P+R', 0, 0, 'Static', '2:45', '2020-11-01T02:40:00+00:00', 'SouthGate Rail CP', 7, 5, 'Static', '2:45', '2020-11-01T02:40:00+00:00', 'SouthGate General CP', 131, 18, 'Static', '2:45', '2020-11-01T02:43:04+00:00', 'Podium CP', 90, 17, 'Static', '2:45', '2020-11-01T01:35:00+00:00', 'Charlotte Street CP', 616, 58, 'Emptying', '2:45', '2020-11-01T02:44:47+00:00', 'Avon Street CP', 0, 0, 'Static', '2:45')
('2020-11-01T02:10:00+00:00', 'Odd Down P+R', -42, -3, 'Emptying', '2:55', '2020-11-01T02:42:33+00:00', 'Newbridge P+R', 0, 0, 'Static', '2:55', '2020-11-01T02:40:00+00:00', 'SouthGate Rail CP', 7, 5, 'Static', '2:55', '2020-11-01T02:40:00+00:00', 'SouthGate General CP', 131, 18, 'Static', '2:55', '2020-11-01T02:43:04+00:00', 'Podium CP', 90, 17, 'Static', '2:55', '2020-11-01T01:35:00+00:00', 'Charlotte Street CP', 616, 58, 'Emptying', '2:55', '2020-11-01T02:44:47+00:00', 'Avon Street CP', 0, 0, 'Static', '2:55')
('2020-11-01T03:00:00+00:00', 'Odd Down P+R', -42, -3, 'Emptying', '3:05', '2020-11-01T02:59:33+00:00', 'Newbridge P+R', 0, 0, 'Static', '3:05', '2020-11-01T02:55:00+00:00', 'SouthGate Rail CP', 7, 5, 'Static', '3:05', '2020-11-01T02:55:00+00:00', 'SouthGate General CP', 131, 18, 'Static', '3:05', '2020-11-01T02:58:12+00:00', 'Podium CP', 90, 17, 'Static', '3:05', '2020-11-01T01:35:00+00:00', 'Charlotte Street CP', 616, 58, 'Emptying', '3:05', '2020-11-01T02:59:33+00:00', 'Avon Street CP', 0, 0, 'Static', '3:05')
('2020-11-01T03:00:00+00:00', 'Odd Down P+R', -42, -3, 'Emptying', '3:15', '2020-11-01T03:12:06+00:00', 'Newbridge P+R', 0, 0, 'Static', '3:15', '2020-11-01T03:10:00+00:00', 'SouthGate Rail CP', 7, 5, 'Static', '3:15', '2020-11-01T03:10:00+00:00', 'SouthGate General CP', 131, 18, 'Static', '3:15', '2020-11-01T03:13:06+00:00', 'Podium CP', 90, 17, 'Static', '3:15', '2020-11-01T03:09:59+00:00', 'Charlotte Street CP', 615, 58, 'Emptying', '3:15', '2020-11-01T03:14:20+00:00', 'Avon Street CP', 0, 0, 'Static', '3:15')
('2020-11-01T03:00:00+00:00', 'Odd Down P+R', -42, -3, 'Emptying', '3:25', '2020-11-01T03:12:06+00:00', 'Newbridge P+R', 0, 0, 'Static', '3:25', '2020-11-01T03:10:00+00:00', 'SouthGate Rail CP', 7, 5, 'Static', '3:25', '2020-11-01T03:10:00+00:00', 'SouthGate General CP', 131, 18, 'Static', '3:25', '2020-11-01T03:13:06+00:00', 'Podium CP', 90, 17, 'Static', '3:25', '2020-11-01T03:09:59+00:00', 'Charlotte Street CP', 615, 58, 'Emptying', '3:25', '2020-11-01T03:14:20+00:00', 'Avon Street CP', 0, 0, 'Static', '3:25')
('2020-11-01T03:00:00+00:00', 'Odd Down P+R', -42, -3, 'Emptying', '3:35', '2020-11-01T03:29:56+00:00', 'Newbridge P+R', 0, 0, 'Static', '3:35', '2020-11-01T03:25:00+00:00', 'SouthGate Rail CP', 7, 5, 'Static', '3:35', '2020-11-01T03:25:00+00:00', 'SouthGate General CP', 131, 18, 'Static', '3:35', '2020-11-01T03:28:07+00:00', 'Podium CP', 90, 17, 'Static', '3:35', '2020-11-01T03:09:59+00:00', 'Charlotte Street CP', 615, 58, 'Emptying', '3:35', '2020-11-01T03:29:57+00:00', 'Avon Street CP', 0, 0, 'Static', '3:35')
